date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
29-05-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,214,4,171,5,Chennai Super Kings,complete,0,5,DP Conway,J Srinath,Nitin Menon,RJ Tucker,KN Ananthapadmanabhan,J Madanagopal,20,"WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, Rashid Khan, V Shankar, DA Miller, R Tewatia, MM Sharma, Noor Ahmad, Mohammed Shami, J Little","RD Gaikwad, DP Conway, S Dube, AM Rahane, AT Rayudu, MS Dhoni, RA Jadeja, MM Ali, DL Chahar, M Pathirana, TU Deshpande, M Theekshana"
22-03-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,173,6,176,4,Chennai Super Kings,complete,0,6,Mustafizur Rahman,J Srinath,HAS Khalid,VK Sharma,Nitin Menon,M Kuppuraj,20,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, KD Karthik, KV Sharma, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, RA Jadeja, Sameer Rizvi, MS Dhoni, DL Chahar, M Theekshana, TU Deshpande, Mustafizur Rahman"
23-03-2024,2024,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,208,7,204,7,Kolkata Knight Riders,complete,4,0,AD Russell,M Nayyar,R Pandit,YC Barde,BNJ Oxenford,M Krishnadas,20,"Suyash Sharma, PD Salt, SP Narine, VR Iyer, SS Iyer, N Rana, Ramandeep Singh, RK Singh, AD Russell, MA Starc, Harshit Rana, CV Varun","T Natarajan, MA Agarwal, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, M Jansen, PJ Cummins, B Kumar, M Markande"
23-03-2024,2024,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Delhi Capitals,Punjab Kings,Punjab Kings,field,174,9,177,6,Punjab Kings,complete,0,4,SM Curran,V Narayan Kutty,J Madanagopal,NA Patwardhan,AG Wharf,PM Joshi,20,"DA Warner, MR Marsh, SD Hope, RR Pant, RK Bhui, T Stubbs, AR Patel, Sumit Kumar, Abishek Porel, Kuldeep Yadav, KK Ahmed, I Sharma","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, LS Livingstone, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar"
24-03-2024,2024,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,193,4,173,6,Rajasthan Royals,complete,20,0,SV Samson,Prakash Bhatt,A Totre,HDPK Dharmasena,KN Ananthapadmanabhan,VM Dhokre,20,"YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, Sandeep Sharma, YS Chahal, Avesh Khan, TA Boult, N Burger","Q de Kock, KL Rahul, D Padikkal, A Badoni, DJ Hooda, N Pooran, MP Stoinis, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, Yash Thakur"
24-03-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,168,6,162,9,Gujarat Titans,complete,6,0,B Sai Sudharsan,J Srinath,VA Kulkarni,VK Sharma,Nitin Menon,M Kuppuraj,20,"MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, V Shankar, R Tewatia, Rashid Khan, UT Yadav, R Sai Kishore, SH Johnson","L Wood, Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, TH David, HH Pandya, G Coetzee, SZ Mulani, PP Chawla, JJ Bumrah"
25-03-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,176,6,178,6,Royal Challengers Bengaluru,complete,0,4,V Kohli,M Nayyar,AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford,M Krishnadas,20,"Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, LS Livingstone, SM Curran, JM Sharma, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar","Yash Dayal, V Kohli, F du Plessis, C Green, RM Patidar, GJ Maxwell, Anuj Rawat, KD Karthik, MK Lomror, AS Joseph, Mayank Dagar, Mohammed Siraj"
26-03-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,206,6,143,8,Chennai Super Kings,complete,63,0,S Dube,V Narayan Kutty,AG Wharf,Tapan Sharma,J Madanagopal,PM Joshi,20,"M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, S Dube, DJ Mitchell, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, V Shankar, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, R Sai Kishore"
27-03-2024,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,277,3,246,5,Sunrisers Hyderabad,complete,31,0,Abhishek Sharma,Prakash Bhatt,KN Ananthapadmanabhan,UV Gandhe,HDPK Dharmasena,VM Dhokre,20,"Umran Malik, MA Agarwal, TM Head, Abhishek Sharma, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, M Markande, JD Unadkat","KT Maphaka, RG Sharma, Ishan Kishan, Naman Dhir, Tilak Varma, HH Pandya, TH David, R Shepherd, G Coetzee, JJ Bumrah, PP Chawla, SZ Mulani"
28-03-2024,2024,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,185,5,173,5,Rajasthan Royals,complete,12,0,R Parag,J Srinath,A Nand Kishore,Nitin Menon,VK Sharma,M Kuppuraj,20,"N Burger, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","KK Ahmed, DA Warner, MR Marsh, RK Bhui, RR Pant, T Stubbs, Abishek Porel, AR Patel, Sumit Kumar, Kuldeep Yadav, A Nortje, Mukesh Kumar"
29-03-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,182,6,186,3,Kolkata Knight Riders,complete,0,7,SP Narine,M Nayyar,AK Chaudhary,R Pandit,BNJ Oxenford,M Krishnadas,20,"Vijaykumar Vyshak, V Kohli, F du Plessis, C Green, GJ Maxwell, RM Patidar, Anuj Rawat, KD Karthik, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","CV Varun, PD Salt, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, AS Roy, Harshit Rana, A Raghuvanshi"
30-03-2024,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,199,8,178,5,Lucknow Super Giants,complete,21,0,MP Yadav,V Narayan Kutty,J Madanagopal,Navdeep Singh,AG Wharf,PM Joshi,20,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, MP Yadav, M Siddharth","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, JM Sharma, LS Livingstone, SM Curran, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar"
31-03-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,162,8,168,3,Gujarat Titans,complete,0,7,MM Sharma,J Srinath,HAS Khalid,VK Sharma,Unknown,M Kuppuraj,20,"TM Head, MA Agarwal, Abhishek Sharma, AK Markram, H Klaasen, Shahbaz Ahmed, Abdul Samad, Washington Sundar, PJ Cummins, B Kumar, M Markande, JD Unadkat","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, V Shankar, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, Noor Ahmad, DG Nalkande"
31-03-2024,2024,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,191,5,171,6,Delhi Capitals,complete,20,0,KK Ahmed,Prakash Bhatt,HDPK Dharmasena,Vinod Seshan,KN Ananthapadmanabhan,VM Dhokre,20,"Rasikh Salam, PP Shaw, DA Warner, RR Pant, MR Marsh, T Stubbs, AR Patel, Abishek Porel, A Nortje, Mukesh Kumar, I Sharma, KK Ahmed","M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman"
01-04-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,125,9,127,4,Rajasthan Royals,complete,0,6,TA Boult,M Nayyar,MV Saidharshan Kumar,YC Barde,BNJ Oxenford,M Krishnadas,20,"Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, HH Pandya, PP Chawla, TH David, G Coetzee, JJ Bumrah, Akash Madhwal, KT Maphaka","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, SB Dubey, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, N Burger"
02-04-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,181,5,153,10,Lucknow Super Giants,complete,28,0,MP Yadav,V Narayan Kutty,J Madanagopal,NA Patwardhan,AG Wharf,PM Joshi,20,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Yash Thakur, Naveen-ul-Haq, MP Yadav","Yash Dayal, V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, MK Lomror, KD Karthik, Mayank Dagar, RJW Topley, Mohammed Siraj"
03-04-2024,2024,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,272,7,166,10,Kolkata Knight Riders,complete,106,0,SP Narine,Prakash Bhatt,A Totre,UV Gandhe,HDPK Dharmasena,VM Dhokre,20,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, SS Iyer, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, Harshit Rana, CV Varun","KK Ahmed, DA Warner, PP Shaw, MR Marsh, Abishek Porel, RR Pant, T Stubbs, AR Patel, Sumit Kumar, Rasikh Salam, A Nortje, I Sharma"
04-04-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Punjab Kings,Punjab Kings,field,199,4,200,7,Punjab Kings,complete,0,3,Shashank Singh,J Srinath,Nitin Menon,VA Kulkarni,VK Sharma,M Kuppuraj,20,"MM Sharma, WP Saha, Shubman Gill, KS Williamson, B Sai Sudharsan, V Shankar, R Tewatia, Azmatullah Omarzai, Rashid Khan, Noor Ahmad, UT Yadav, DG Nalkande","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada"
05-04-2024,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,165,5,166,4,Sunrisers Hyderabad,complete,0,6,Abhishek Sharma,M Nayyar,R Pandit,YC Barde,BNJ Oxenford,M Krishnadas,20,"Mukesh Choudhary, R Ravindra, RD Gaikwad, AM Rahane, S Dube, RA Jadeja, DJ Mitchell, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, M Theekshana","T Natarajan, TM Head, Abhishek Sharma, AK Markram, Shahbaz Ahmed, H Klaasen, Nithish Kumar Reddy, Abdul Samad, PJ Cummins, B Kumar, M Markande, JD Unadkat"
06-04-2024,2024,Jaipur,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,183,3,189,4,Rajasthan Royals,complete,0,6,JC Buttler,V Narayan Kutty,AG Wharf,Tapan Sharma,J Madanagopal,PM Joshi,20,"H Sharma, V Kohli, F du Plessis, GJ Maxwell, Saurav Chauhan, C Green, RM Patidar, KD Karthik, RJW Topley, Mayank Dagar, Mohammed Siraj, Yash Dayal","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, N Burger, SB Dubey"
07-04-2024,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,163,5,130,10,Lucknow Super Giants,complete,33,0,Yash Thakur,J Srinath,A Nand Kishore,VK Sharma,Nitin Menon,M Kuppuraj,20,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, MP Yadav","MM Sharma, B Sai Sudharsan, Shubman Gill, KS Williamson, BR Sharath, V Shankar, DG Nalkande, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, Noor Ahmad"
07-04-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,234,5,205,8,Mumbai Indians,complete,29,0,R Shepherd,Prakash Bhatt,HDPK Dharmasena,UV Gandhe,KN Ananthapadmanabhan,VM Dhokre,20,"Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, HH Pandya, Tilak Varma, TH David, R Shepherd, Mohammad Nabi, G Coetzee, PP Chawla, JJ Bumrah","KK Ahmed, PP Shaw, DA Warner, Abishek Porel, T Stubbs, RR Pant, AR Patel, Lalit Yadav, Kumar Kushagra, JA Richardson, A Nortje, I Sharma"
08-04-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,137,9,141,3,Chennai Super Kings,complete,0,7,RA Jadeja,M Nayyar,AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford,M Krishnadas,20,"PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, Ramandeep Singh, RK Singh, AD Russell, AS Roy, MA Starc, VG Arora, CV Varun","Mustafizur Rahman, R Ravindra, RD Gaikwad, DJ Mitchell, S Dube, MS Dhoni, AM Rahane, Sameer Rizvi, RA Jadeja, SN Thakur, TU Deshpande, M Theekshana"
09-04-2024,2024,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,182,9,180,6,Sunrisers Hyderabad,complete,2,0,Nithish Kumar Reddy,V Narayan Kutty,Navdeep Singh,NA Patwardhan,AG Wharf,PM Joshi,20,"TM Head, Abhishek Sharma, AK Markram, Nithish Kumar Reddy, RA Tripathi, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada"
10-04-2024,2024,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,196,3,199,7,Gujarat Titans,complete,0,3,Rashid Khan,Prakash Bhatt,HDPK Dharmasena,Vinod Seshan,KN Ananthapadmanabhan,VM Dhokre,20,"KA Maharaj, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, KR Sen, YS Chahal","MM Sharma, B Sai Sudharsan, Shubman Gill, MS Wade, A Manohar, V Shankar, R Tewatia, M Shahrukh Khan, Rashid Khan, Noor Ahmad, UT Yadav, SH Johnson"
11-04-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,196,8,199,3,Mumbai Indians,complete,0,7,JJ Bumrah,J Srinath,Nitin Menon,VA Kulkarni,VK Sharma,M Kuppuraj,20,"V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, KD Karthik, MK Lomror, Saurav Chauhan, Vijaykumar Vyshak, Akash Deep, RJW Topley, Mohammed Siraj","Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, HH Pandya, Tilak Varma, TH David, Mohammad Nabi, R Shepherd, S Gopal, JJ Bumrah, G Coetzee"
12-04-2024,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,167,7,170,4,Delhi Capitals,complete,0,6,Kuldeep Yadav,M Nayyar,R Pandit,YC Barde,BNJ Oxenford,M Krishnadas,20,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, DJ Hooda, A Badoni, KH Pandya, Arshad Khan, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, RR Pant, T Stubbs, SD Hope, AR Patel, Kuldeep Yadav, Mukesh Kumar, I Sharma, Abishek Porel"
13-04-2024,2024,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,147,8,152,7,Rajasthan Royals,complete,0,3,SO Hetmyer,V Narayan Kutty,AK Chaudhary,Tapan Sharma,J Madanagopal,PM Joshi,20,"Atharva Taide, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, Shashank Singh, LS Livingstone, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","KR Sen, YBK Jaiswal, Tanush Kotian, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Powell, KA Maharaj, TA Boult, Avesh Khan, YS Chahal"
14-04-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,206,4,186,6,Chennai Super Kings,complete,20,0,M Pathirana,J Srinath,Nitin Menon,HAS Khalid,VK Sharma,M Kuppuraj,20,"AM Rahane, R Ravindra, RD Gaikwad, S Dube, DJ Mitchell, MS Dhoni, RA Jadeja, Sameer Rizvi, SN Thakur, TU Deshpande, Mustafizur Rahman, M Pathirana","Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, S Gopal, JJ Bumrah, G Coetzee"
14-04-2024,2024,Kolkata,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,161,7,162,2,Kolkata Knight Riders,complete,0,8,PD Salt,Amit Sharma,A Totre,Vinod Seshan,KN Ananthapadmanabhan,VM Dhokre,20,"Q de Kock, KL Rahul, DJ Hooda, A Badoni, MP Stoinis, N Pooran, KH Pandya, Arshad Khan (2), Mohsin Khan, Ravi Bishnoi, S Joseph, Yash Thakur","CV Varun, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, RK Singh"
15-04-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,287,3,262,7,Sunrisers Hyderabad,complete,25,0,TM Head,M Nayyar,AK Chaudhary,R Pandit,BNJ Oxenford,M Krishnadas,20,"M Markande, Abhishek Sharma, TM Head, H Klaasen, AK Markram, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan, Nithish Kumar Reddy","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, Saurav Chauhan, KD Karthik, MK Lomror, Anuj Rawat, Vijaykumar Vyshak, RJW Topley, LH Ferguson"
16-04-2024,2024,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,223,6,224,8,Rajasthan Royals,complete,0,2,JC Buttler,Amit Sharma,MA Gough,UV Gandhe,KN Ananthapadmanabhan,VM Dhokre,20,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, AD Russell, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","KR Sen, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Ashwin, SO Hetmyer, R Powell, TA Boult, Avesh Khan, YS Chahal"
17-04-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,89,10,92,4,Delhi Capitals,complete,0,6,RR Pant,V Narayan Kutty,NA Patwardhan,VK Sharma,J Madanagopal,PM Joshi,20,"WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, A Manohar, R Tewatia, M Shahrukh Khan, Rashid Khan, MM Sharma, Noor Ahmad, SH Johnson, S Sandeep Warrier","KK Ahmed, PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, Sumit Kumar, T Stubbs, AR Patel, Kuldeep Yadav, I Sharma, Mukesh Kumar"
18-04-2024,2024,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mumbai Indians,Punjab Kings,Punjab Kings,field,192,7,183,10,Mumbai Indians,complete,9,0,JJ Bumrah,Sanjay Verma,A Nand Kishore,VA Kulkarni,Nitin Menon,K Kelkar,20,"Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, G Coetzee, S Gopal, JJ Bumrah","Arshdeep Singh, SM Curran, P Simran Singh, RR Rossouw, LS Livingstone, Harpreet Singh, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada"
